1460601643.228892|G|167|
1460601643.228915|G_A|-1|
1460601643.228921|G_S|55,13|
1460601643.864610|G|167|
1460601643.864635|G_A|-1|
1460601643.864641|G_S|55,13|
1460601644.556100|G|167|
1460601644.556126|G_A|-1|
1460601644.556131|G_S|55,13|
1460601645.275788|G|167|
1460601645.275813|G_A|-1|
1460601645.275818|G_S|55,13|
1460601645.904070|G|167|
1460601645.904094|G_A|-1|
1460601645.904100|G_S|55,13|
1460601646.714940|G|167|
1460601646.714965|G_A|-1|
1460601646.714971|G_S|55,13|
1460601647.311132|G|167|
1460601647.311160|G_A|-1|
